,race,sex,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,sensitive
3615,Minority,Female,1,0,0,0,0,0,0,MF
3616,African-American,Male,1,0,0,0,0,1,0,AM
3617,Caucasian,Male,1,0,0,1,0,1,1,CM
3618,Caucasian,Female,1,0,0,0,0,1,0,CF
3619,African-American,Male,1,0,0,0,0,1,0,AM
3620,Caucasian,Male,0,0,0,1,0,1,1,CM
3621,Hispanic,Female,1,0,0,0,0,0,1,HF
3622,Hispanic,Male,1,0,0,0,0,0,0,HM
3623,Caucasian,Male,0,0,0,1,0,1,1,CM
3624,African-American,Male,2,0,0,0,0,1,0,AM
3625,African-American,Female,0,0,1,0,0,0,1,AF
3626,African-American,Male,1,0,0,0,0,1,1,AM
3627,African-American,Female,1,0,0,0,0,0,0,AF
3628,Caucasian,Male,2,0,0,0,0,0,1,CM
3629,African-American,Female,0,0,0,0,0,1,0,AF
3630,Caucasian,Male,1,0,0,0,0,1,1,CM
3631,Caucasian,Male,2,0,0,0,0,0,0,CM
3632,Hispanic,Female,1,0,0,0,0,1,1,HF
3633,African-American,Male,0,0,1,0,1,1,1,AM
3634,African-American,Male,1,0,0,0,1,1,0,AM
3635,African-American,Male,2,0,0,0,2,1,1,AM
3636,Caucasian,Male,0,0,0,0,0,1,0,CM
3637,African-American,Male,1,0,0,0,0,0,0,AM
3638,African-American,Male,2,0,0,1,1,1,1,AM
3639,African-American,Male,2,0,0,0,0,0,1,AM
3640,Caucasian,Male,1,0,0,0,0,0,0,CM
3641,Hispanic,Male,2,0,0,0,0,1,0,HM
3642,African-American,Male,1,0,0,0,0,1,0,AM
3643,Caucasian,Male,1,0,0,0,0,1,1,CM
3644,African-American,Male,1,0,0,0,0,1,1,AM
3645,African-American,Female,1,0,0,0,0,1,0,AF
3646,African-American,Male,2,0,0,0,1,1,0,AM
3647,Minority,Male,2,0,0,0,0,0,0,MM
3648,African-American,Female,1,0,0,0,0,0,0,AF
3649,Caucasian,Female,1,0,0,0,0,1,0,CF
3650,African-American,Male,1,0,0,0,0,1,1,AM
3651,African-American,Female,1,0,0,0,0,1,1,AF
3652,Minority,Male,1,0,0,0,1,1,1,MM
3653,African-American,Male,0,0,0,1,0,1,1,AM
3654,African-American,Male,1,0,0,0,0,1,0,AM
3655,African-American,Male,1,0,0,0,1,0,1,AM
3656,African-American,Male,2,0,0,0,1,1,0,AM
3657,African-American,Male,1,0,0,0,0,1,0,AM
3658,African-American,Male,1,0,0,0,0,1,1,AM
3659,Caucasian,Female,1,0,0,0,0,0,0,CF
3660,African-American,Male,1,0,0,0,0,1,1,AM
3661,Caucasian,Male,1,0,0,0,0,1,1,CM
3662,Caucasian,Male,1,0,0,0,0,0,1,CM
3663,Caucasian,Male,0,0,0,0,0,0,1,CM
3664,Caucasian,Male,1,0,0,0,0,1,0,CM
3665,Hispanic,Male,1,0,0,0,0,1,0,HM
3666,Caucasian,Female,1,0,0,0,0,0,0,CF
3667,African-American,Male,1,0,0,0,0,0,1,AM
3668,Caucasian,Male,2,0,0,0,0,1,0,CM
3669,Caucasian,Female,1,0,0,0,0,0,1,CF
3670,African-American,Male,1,0,0,0,0,1,0,AM
3671,African-American,Male,1,0,0,0,0,1,0,AM
3672,Caucasian,Male,1,0,0,0,0,1,0,CM
3673,African-American,Male,2,0,0,0,2,1,1,AM
3674,Minority,Male,1,0,0,0,0,0,1,MM
3675,African-American,Male,2,0,0,0,0,1,0,AM
3676,Caucasian,Male,2,0,0,0,0,0,1,CM
3677,African-American,Male,1,0,0,0,0,1,1,AM
3678,Caucasian,Male,2,0,0,0,0,0,0,CM
3679,Caucasian,Male,2,0,0,0,0,0,0,CM
3680,African-American,Male,1,0,0,1,1,1,1,AM
3681,Caucasian,Male,2,0,0,0,0,1,0,CM
3682,Caucasian,Male,1,0,0,0,0,0,1,CM
3683,African-American,Male,1,0,0,0,0,1,1,AM
3684,Caucasian,Male,1,0,0,0,0,1,0,CM
3685,Hispanic,Male,1,0,0,0,0,0,0,HM
3686,Caucasian,Female,1,0,0,0,0,0,1,CF
3687,African-American,Male,1,0,0,0,0,0,0,AM
3688,Caucasian,Male,1,0,0,0,0,1,0,CM
3689,Caucasian,Female,2,0,0,0,0,0,0,CF
3690,Minority,Male,2,0,0,0,0,0,0,MM
3691,Hispanic,Male,1,0,0,0,0,0,0,HM
3692,Caucasian,Male,1,0,0,0,0,1,1,CM
3693,Hispanic,Male,1,0,0,0,0,0,1,HM
3694,African-American,Male,0,0,0,0,0,1,1,AM
3695,African-American,Female,1,0,0,0,0,0,1,AF
3696,Caucasian,Female,1,0,0,0,0,1,0,CF
3697,African-American,Male,1,0,0,0,0,1,0,AM
3698,Caucasian,Male,1,0,0,0,1,1,0,CM
3699,African-American,Female,1,0,0,0,0,1,1,AF
3700,African-American,Male,1,0,0,0,0,1,0,AM
3701,Caucasian,Female,1,0,0,0,0,0,0,CF
3702,African-American,Male,1,0,0,0,0,1,1,AM
3703,African-American,Male,0,0,0,0,0,1,1,AM
3704,Caucasian,Female,1,0,0,0,0,0,0,CF
3705,Caucasian,Male,1,0,0,0,0,1,0,CM
3706,African-American,Female,1,0,0,0,0,1,0,AF
3707,Caucasian,Female,2,0,0,0,0,1,0,CF
3708,Caucasian,Male,1,0,0,0,0,1,0,CM
3709,Hispanic,Male,1,0,0,0,0,0,1,HM
3710,African-American,Male,1,0,0,0,0,1,0,AM
3711,African-American,Male,1,0,0,0,1,1,1,AM
3712,Caucasian,Male,0,1,0,0,0,1,1,CM
3713,Caucasian,Male,1,0,0,0,0,1,1,CM
3714,Minority,Male,1,0,0,0,0,0,0,MM
3715,African-American,Male,1,0,0,0,0,1,1,AM
3716,Caucasian,Male,2,0,0,0,0,0,1,CM
3717,Caucasian,Female,0,0,0,0,0,0,0,CF
3718,Caucasian,Male,2,0,0,0,0,1,1,CM
3719,African-American,Male,1,0,1,0,1,1,1,AM
3720,African-American,Male,1,0,0,0,0,0,1,AM
3721,African-American,Male,1,0,0,0,0,1,1,AM
3722,African-American,Male,0,0,0,0,0,1,0,AM
3723,Hispanic,Male,1,0,0,0,0,0,0,HM
3724,Caucasian,Female,2,0,0,0,0,0,0,CF
3725,Caucasian,Male,1,0,0,0,0,1,1,CM
3726,Caucasian,Male,0,0,0,0,0,1,0,CM
3727,Caucasian,Male,1,0,0,0,0,0,0,CM
3728,Caucasian,Male,1,0,0,0,0,0,1,CM
3729,African-American,Male,1,1,0,0,1,1,1,AM
3730,Caucasian,Female,2,0,0,0,0,0,0,CF
3731,Caucasian,Male,1,0,0,0,0,0,1,CM
3732,African-American,Female,0,0,0,0,0,0,0,AF
3733,Hispanic,Male,1,0,0,0,0,0,0,HM
3734,Hispanic,Female,1,0,0,0,0,1,0,HF
3735,Caucasian,Female,1,0,0,0,0,1,1,CF
3736,Hispanic,Male,0,0,0,0,0,0,1,HM
3737,Hispanic,Male,2,0,0,0,0,1,0,HM
3738,African-American,Male,2,0,0,0,0,1,0,AM
3739,Caucasian,Male,2,0,0,0,0,1,1,CM
3740,Minority,Male,1,0,0,0,0,0,1,MM
3741,African-American,Male,1,0,0,0,0,1,0,AM
3742,African-American,Male,1,0,0,0,0,0,1,AM
3743,African-American,Male,0,0,1,1,0,1,0,AM
3744,African-American,Male,2,0,0,0,0,1,0,AM
3745,African-American,Male,0,0,0,0,0,0,1,AM
3746,Caucasian,Male,2,0,0,0,0,0,0,CM
3747,African-American,Male,0,0,0,1,0,1,1,AM
3748,Caucasian,Female,2,0,0,0,0,0,1,CF
3749,African-American,Male,1,0,0,0,2,1,0,AM
3750,African-American,Female,1,0,0,0,0,1,0,AF
3751,Caucasian,Male,0,0,1,0,0,0,1,CM
3752,African-American,Female,1,0,1,0,2,1,1,AF
3753,Caucasian,Male,1,0,0,0,1,1,1,CM
3754,Caucasian,Female,1,0,0,0,0,0,1,CF
3755,African-American,Male,0,0,0,0,0,1,0,AM
3756,African-American,Male,1,0,0,0,0,1,1,AM
3757,Caucasian,Female,2,0,0,0,0,0,0,CF
3758,African-American,Male,2,0,0,0,0,1,0,AM
3759,African-American,Female,1,0,0,0,0,1,1,AF
3760,African-American,Male,1,0,0,0,0,0,1,AM
3761,Caucasian,Male,1,0,0,0,0,0,0,CM
3762,African-American,Male,1,0,0,0,0,1,0,AM
3763,Caucasian,Male,2,0,0,0,0,0,0,CM
3764,African-American,Male,1,0,0,0,0,1,0,AM
3765,African-American,Male,0,0,1,0,0,1,1,AM
3766,Minority,Male,1,0,0,0,0,0,0,MM
3767,African-American,Male,2,0,0,0,1,1,1,AM
3768,Caucasian,Male,1,0,0,0,0,0,0,CM
3769,African-American,Male,1,0,0,0,1,1,1,AM
3770,Caucasian,Male,2,0,0,0,0,1,0,CM
3771,African-American,Male,1,0,0,0,0,1,0,AM
3772,African-American,Male,1,0,0,0,0,0,0,AM
3773,African-American,Male,1,0,0,0,0,1,0,AM
3774,Caucasian,Male,1,0,0,0,0,0,0,CM
3775,Caucasian,Male,1,0,0,0,0,1,0,CM
3776,Caucasian,Female,1,0,0,0,0,0,1,CF
3777,Hispanic,Male,1,0,0,0,0,1,0,HM
3778,African-American,Male,2,1,0,1,1,1,0,AM
3779,African-American,Male,2,0,0,0,0,0,0,AM
3780,African-American,Female,1,0,0,0,0,0,0,AF
3781,Caucasian,Male,1,0,0,0,0,1,1,CM
3782,African-American,Male,1,0,0,0,0,1,0,AM
3783,Caucasian,Male,2,0,0,0,0,1,0,CM
3784,Caucasian,Male,1,0,0,0,0,1,0,CM
3785,Hispanic,Female,0,0,1,1,0,0,1,HF
3786,African-American,Female,1,1,0,0,0,0,1,AF
3787,Hispanic,Female,1,0,0,0,0,1,1,HF
3788,Caucasian,Male,1,0,0,0,0,1,1,CM
3789,African-American,Male,1,0,0,0,0,1,0,AM
3790,Caucasian,Male,2,0,0,0,0,0,0,CM
3791,Hispanic,Female,2,0,0,0,0,0,0,HF
3792,Minority,Male,1,0,0,0,0,1,0,MM
3793,Caucasian,Male,1,0,0,0,0,0,1,CM
3794,African-American,Female,1,0,0,0,0,1,1,AF
3795,Caucasian,Female,1,0,0,0,0,0,0,CF
3796,Hispanic,Male,2,0,0,0,0,1,0,HM
3797,Hispanic,Male,0,0,0,0,0,0,1,HM
3798,African-American,Male,1,0,0,0,0,0,0,AM
3799,Caucasian,Male,2,0,0,0,0,1,1,CM
3800,African-American,Male,0,0,0,1,0,1,1,AM
3801,Caucasian,Male,1,0,0,0,0,1,1,CM
3802,African-American,Male,1,0,0,0,0,1,1,AM
3803,African-American,Male,2,1,0,1,1,0,0,AM
3804,African-American,Male,1,0,0,0,0,0,1,AM
3805,African-American,Male,0,0,0,0,0,1,1,AM
3806,African-American,Male,2,0,0,0,0,1,0,AM
3807,African-American,Male,1,0,0,0,0,1,1,AM
3808,Caucasian,Male,1,0,0,0,0,0,1,CM
3809,African-American,Male,1,0,1,0,0,1,1,AM
3810,Caucasian,Male,1,0,0,0,0,0,1,CM
3811,African-American,Male,0,0,0,0,0,1,0,AM
3812,Caucasian,Male,0,0,0,0,0,1,1,CM
3813,Caucasian,Male,1,0,0,0,0,0,0,CM
3814,African-American,Female,1,0,0,0,0,0,0,AF
3815,African-American,Male,0,0,0,0,1,1,1,AM
3816,Caucasian,Male,2,0,0,0,0,1,0,CM
3817,African-American,Male,0,0,0,0,0,0,1,AM
3818,African-American,Male,1,0,0,0,0,1,1,AM
3819,Caucasian,Male,1,0,0,0,0,1,0,CM
3820,African-American,Male,0,0,1,0,0,1,0,AM
3821,Caucasian,Male,2,0,0,0,0,1,0,CM
3822,Caucasian,Male,2,0,0,0,0,1,0,CM
3823,Caucasian,Male,2,0,0,0,0,0,1,CM
3824,African-American,Male,0,0,0,1,0,0,1,AM
3825,Caucasian,Female,1,0,0,0,0,0,0,CF
3826,Caucasian,Male,1,0,0,0,0,0,1,CM
3827,Caucasian,Male,1,0,0,0,0,0,0,CM
3828,African-American,Male,1,0,0,1,1,1,1,AM
3829,Hispanic,Male,1,0,0,0,0,0,0,HM
3830,African-American,Male,1,0,0,0,0,1,0,AM
3831,African-American,Male,1,0,0,0,0,0,0,AM
3832,Caucasian,Female,1,0,0,0,0,0,1,CF
3833,Caucasian,Male,1,0,0,0,1,1,1,CM
3834,African-American,Female,2,0,0,0,0,1,0,AF
3835,African-American,Male,1,0,0,0,0,1,1,AM
3836,African-American,Male,1,0,0,0,0,0,0,AM
3837,African-American,Male,1,1,1,1,1,1,1,AM
3838,African-American,Male,0,0,0,0,0,1,0,AM
3839,Caucasian,Male,1,0,0,0,0,0,0,CM
3840,Caucasian,Female,1,0,0,0,0,1,1,CF
3841,African-American,Male,2,0,0,0,1,1,1,AM
3842,Hispanic,Male,1,0,0,0,0,1,1,HM
3843,African-American,Male,1,0,0,0,0,1,1,AM
3844,Minority,Male,1,0,0,0,0,0,0,MM
3845,Caucasian,Male,1,1,0,0,0,1,0,CM
3846,Caucasian,Male,2,0,0,0,0,1,0,CM
3847,African-American,Male,1,0,0,0,1,1,1,AM
3848,African-American,Male,0,0,0,0,0,0,1,AM
3849,African-American,Male,1,0,1,0,0,1,0,AM
3850,Minority,Female,1,0,0,0,0,1,1,MF
3851,African-American,Male,1,0,0,0,0,1,0,AM
3852,African-American,Male,1,0,0,0,0,1,0,AM
3853,African-American,Male,1,0,0,0,0,1,1,AM
3854,Caucasian,Female,1,0,0,0,0,1,1,CF
3855,Caucasian,Male,2,0,0,0,0,1,1,CM
3856,Caucasian,Male,2,0,0,0,0,0,0,CM
3857,African-American,Male,0,0,0,0,0,1,1,AM
3858,African-American,Female,2,0,0,0,0,1,1,AF
3859,African-American,Male,1,0,0,0,0,0,1,AM
3860,Caucasian,Male,1,0,0,0,0,1,0,CM
3861,African-American,Female,0,0,0,0,0,1,1,AF
3862,Caucasian,Male,0,0,0,0,0,1,0,CM
3863,Caucasian,Male,1,0,0,0,0,1,0,CM
3864,Caucasian,Male,0,0,0,0,0,0,0,CM
3865,African-American,Male,1,0,0,0,0,1,0,AM
3866,Caucasian,Male,1,0,0,0,0,1,0,CM
3867,Hispanic,Male,0,0,0,0,0,0,1,HM
3868,African-American,Male,0,1,0,0,0,1,1,AM
3869,African-American,Male,1,0,0,0,0,1,1,AM
3870,Caucasian,Male,2,0,0,0,0,1,1,CM
3871,African-American,Female,1,0,0,0,0,0,0,AF
3872,African-American,Male,1,0,0,0,1,1,0,AM
3873,Caucasian,Male,1,0,0,0,0,0,1,CM
3874,Hispanic,Male,1,0,0,0,0,1,0,HM
3875,African-American,Male,1,0,0,0,0,1,0,AM
3876,Caucasian,Male,0,0,0,0,0,1,1,CM
3877,African-American,Male,1,0,0,0,2,0,1,AM
3878,African-American,Male,1,0,0,0,0,0,1,AM
3879,African-American,Male,1,0,0,0,0,0,1,AM
3880,Caucasian,Male,2,0,0,0,0,0,1,CM
3881,Caucasian,Male,1,0,0,0,0,1,0,CM
3882,African-American,Male,1,0,0,0,0,0,1,AM
3883,African-American,Male,2,0,0,0,0,0,0,AM
3884,Caucasian,Male,2,0,0,0,0,1,0,CM
3885,Caucasian,Male,1,0,0,0,0,1,1,CM
3886,Caucasian,Female,1,0,0,0,0,1,1,CF
3887,Caucasian,Female,1,0,0,0,0,1,0,CF
3888,Caucasian,Male,1,0,0,0,0,1,1,CM
3889,African-American,Male,2,0,0,0,0,1,1,AM
3890,African-American,Male,1,0,0,0,0,1,1,AM
3891,African-American,Male,0,0,0,0,0,1,1,AM
3892,African-American,Male,1,0,0,0,0,0,1,AM
3893,African-American,Male,1,0,0,0,0,0,1,AM
3894,Caucasian,Male,2,0,0,0,0,1,0,CM
3895,Caucasian,Male,1,0,0,0,0,1,1,CM
3896,Minority,Male,1,0,0,0,0,1,0,MM
3897,Hispanic,Male,0,0,0,0,0,0,0,HM
3898,Caucasian,Male,1,0,0,0,0,0,0,CM
3899,Caucasian,Male,2,0,0,0,0,0,0,CM
3900,Hispanic,Female,1,0,0,0,0,1,0,HF
3901,African-American,Male,1,0,0,1,0,1,0,AM
3902,Hispanic,Male,2,0,0,0,1,1,0,HM
3903,Hispanic,Male,2,0,0,0,0,0,0,HM
3904,Caucasian,Male,1,0,0,0,0,0,0,CM
3905,Minority,Male,1,0,0,0,0,1,1,MM
3906,African-American,Male,0,0,0,0,0,1,1,AM
3907,Caucasian,Male,2,0,0,0,0,0,0,CM
3908,Caucasian,Male,0,0,0,0,0,1,1,CM
3909,African-American,Female,0,0,0,0,0,1,0,AF
3910,Caucasian,Female,0,0,0,1,0,0,1,CF
3911,African-American,Female,1,0,0,0,1,1,1,AF
3912,Caucasian,Male,2,0,0,0,0,1,1,CM
3913,Caucasian,Male,1,0,0,0,0,0,1,CM
3914,Caucasian,Male,1,0,0,0,0,1,0,CM
3915,Caucasian,Male,2,0,0,0,0,1,0,CM
3916,Caucasian,Male,2,0,0,0,0,0,1,CM
3917,African-American,Male,0,0,1,0,0,1,0,AM
3918,Caucasian,Male,2,0,0,0,0,1,0,CM
3919,Caucasian,Male,1,0,0,0,0,1,1,CM
3920,African-American,Male,0,0,0,1,0,1,1,AM
3921,African-American,Male,1,0,0,0,0,1,0,AM
3922,Caucasian,Female,1,0,0,0,0,0,1,CF
3923,African-American,Male,1,0,0,0,0,1,1,AM
3924,African-American,Male,1,0,0,0,0,0,0,AM
3925,Caucasian,Male,2,0,0,0,0,0,0,CM
3926,Caucasian,Male,1,0,0,0,0,1,1,CM
3927,Caucasian,Female,0,0,0,0,0,0,0,CF
3928,Caucasian,Female,1,0,0,0,0,0,0,CF
3929,Hispanic,Male,0,1,0,0,0,1,1,HM
3930,African-American,Male,0,0,0,0,0,0,0,AM
3931,Caucasian,Male,2,0,0,0,0,0,0,CM
3932,African-American,Female,0,0,0,0,0,1,1,AF
3933,Caucasian,Male,1,0,0,0,0,1,0,CM
3934,African-American,Male,1,0,0,0,2,1,1,AM
3935,Caucasian,Male,0,0,0,0,0,1,0,CM
3936,African-American,Female,0,0,0,0,0,1,1,AF
3937,African-American,Male,1,0,0,1,1,1,1,AM
3938,African-American,Female,1,0,0,0,0,0,0,AF
3939,Minority,Male,1,0,0,0,0,1,0,MM
3940,Caucasian,Male,1,0,0,0,0,1,0,CM
3941,African-American,Female,1,0,0,0,0,1,0,AF
3942,African-American,Male,1,0,0,0,0,0,0,AM
3943,Caucasian,Male,2,0,0,0,0,0,0,CM
3944,Caucasian,Male,0,0,0,1,0,1,0,CM
3945,Caucasian,Male,1,0,0,0,0,1,0,CM
3946,Caucasian,Male,1,0,0,0,0,1,1,CM
3947,Caucasian,Male,1,0,0,0,0,1,1,CM
3948,Caucasian,Male,1,0,0,0,0,0,1,CM
3949,Caucasian,Male,2,0,0,0,0,1,1,CM
3950,Minority,Male,2,0,0,0,0,1,0,MM
3951,African-American,Male,1,0,0,0,0,1,0,AM
3952,African-American,Male,1,0,0,0,0,1,1,AM
3953,African-American,Male,0,0,0,0,0,1,1,AM
3954,African-American,Male,2,0,0,0,0,1,0,AM
3955,African-American,Male,0,0,0,0,0,0,0,AM
3956,Caucasian,Male,0,0,0,0,0,1,1,CM
3957,Minority,Male,2,0,0,0,0,0,0,MM
3958,Minority,Male,0,0,0,0,0,1,0,MM
3959,African-American,Male,1,0,0,0,0,0,1,AM
3960,Caucasian,Male,2,0,0,0,0,1,0,CM
3961,Caucasian,Male,1,0,0,0,0,0,1,CM
3962,Caucasian,Male,2,0,0,0,0,1,0,CM
3963,African-American,Male,0,0,0,0,0,1,1,AM
3964,Caucasian,Male,1,0,0,0,0,0,0,CM
3965,African-American,Male,2,1,0,0,1,1,0,AM
3966,Caucasian,Male,2,0,0,0,0,1,0,CM
3967,African-American,Male,1,0,0,0,0,1,0,AM
3968,African-American,Male,0,0,0,1,0,0,0,AM
3969,African-American,Female,0,0,0,0,0,1,1,AF
3970,Caucasian,Male,1,0,0,0,1,1,1,CM
3971,Minority,Male,1,0,0,0,0,1,1,MM
3972,Caucasian,Male,2,0,0,0,0,1,0,CM
3973,Caucasian,Female,1,0,0,0,0,0,0,CF
3974,African-American,Male,2,0,0,0,1,1,0,AM
3975,Caucasian,Male,2,0,0,0,1,0,0,CM
3976,African-American,Male,1,0,0,0,0,0,1,AM
3977,African-American,Male,1,0,0,0,0,0,1,AM
3978,African-American,Male,2,0,0,0,1,1,0,AM
3979,Caucasian,Male,1,0,0,0,0,1,0,CM
3980,Minority,Male,2,0,0,0,0,1,0,MM
3981,African-American,Male,1,0,1,0,1,1,1,AM
3982,Caucasian,Male,0,0,0,0,0,1,0,CM
3983,Caucasian,Female,1,0,0,0,0,1,0,CF
3984,African-American,Male,1,0,0,0,0,1,0,AM
3985,African-American,Male,1,0,0,0,0,0,1,AM
3986,Caucasian,Female,1,0,0,0,0,0,0,CF
3987,African-American,Male,2,0,0,0,2,1,1,AM
3988,African-American,Female,1,0,0,0,0,1,1,AF
3989,African-American,Male,1,0,0,0,0,1,0,AM
3990,African-American,Male,1,0,0,0,0,1,0,AM
3991,Caucasian,Female,2,0,0,0,0,1,0,CF
3992,African-American,Male,1,0,0,0,0,1,1,AM
3993,Caucasian,Male,1,0,0,1,0,1,1,CM
3994,African-American,Male,1,1,0,1,1,0,1,AM
3995,African-American,Male,0,0,0,1,0,0,1,AM
3996,Caucasian,Male,1,0,0,0,0,1,1,CM
3997,African-American,Male,1,0,0,0,0,1,1,AM
3998,African-American,Male,1,0,0,0,1,1,1,AM
3999,Caucasian,Male,1,0,0,0,0,1,1,CM
4000,Caucasian,Male,1,0,0,0,0,0,0,CM
4001,African-American,Male,0,0,0,1,0,1,1,AM
4002,African-American,Male,1,0,0,0,0,1,0,AM
4003,African-American,Male,1,0,0,0,0,1,0,AM
4004,Caucasian,Female,0,0,0,0,0,1,0,CF
4005,African-American,Male,1,0,0,0,0,1,1,AM
4006,Caucasian,Male,0,0,0,0,0,1,0,CM
4007,Caucasian,Female,0,0,0,0,0,1,0,CF
4008,African-American,Female,2,0,0,0,0,0,0,AF
4009,African-American,Male,1,0,0,0,0,0,1,AM
4010,African-American,Male,2,0,0,0,0,0,1,AM
4011,Caucasian,Female,1,0,0,0,0,1,0,CF
4012,African-American,Male,1,0,0,0,0,1,1,AM
4013,African-American,Male,1,0,0,0,1,1,1,AM
4014,Caucasian,Female,2,0,0,0,0,1,0,CF
4015,African-American,Female,1,0,0,0,0,0,0,AF
4016,Caucasian,Female,0,0,0,0,0,1,0,CF
4017,African-American,Male,1,0,0,0,0,1,0,AM
4018,African-American,Male,1,0,0,0,0,0,0,AM
4019,African-American,Male,1,0,0,0,0,1,0,AM
4020,African-American,Male,2,0,0,0,0,0,0,AM
4021,Caucasian,Male,2,0,0,0,0,1,0,CM
4022,African-American,Male,1,0,0,0,0,1,0,AM
4023,African-American,Male,1,0,0,0,0,0,1,AM
4024,Caucasian,Male,2,0,0,0,0,1,0,CM
4025,African-American,Female,1,0,0,0,0,0,0,AF
4026,African-American,Male,1,0,0,0,0,1,0,AM
4027,African-American,Male,2,0,0,0,0,1,1,AM
4028,African-American,Male,1,0,0,0,0,0,0,AM
4029,African-American,Male,1,0,0,0,0,0,0,AM
4030,African-American,Male,0,0,0,0,0,1,1,AM
4031,African-American,Female,1,0,0,0,0,0,0,AF
4032,African-American,Male,0,0,0,1,0,1,1,AM
4033,Caucasian,Male,1,0,0,0,0,1,0,CM
4034,African-American,Male,1,0,0,0,0,0,0,AM
4035,African-American,Male,1,0,0,0,0,0,0,AM
4036,African-American,Male,1,0,0,0,0,0,0,AM
4037,Caucasian,Male,1,0,0,0,0,0,0,CM
4038,African-American,Male,1,0,0,0,1,1,0,AM
4039,African-American,Male,1,0,0,0,0,1,1,AM
4040,African-American,Male,1,0,0,0,0,1,0,AM
4041,Caucasian,Female,1,0,0,0,0,1,0,CF
4042,African-American,Male,1,0,0,0,0,0,0,AM
4043,African-American,Female,1,0,0,0,0,1,0,AF
4044,Caucasian,Male,1,0,0,0,0,0,1,CM
4045,Caucasian,Male,0,0,0,0,0,0,1,CM
4046,African-American,Female,2,0,0,0,1,0,1,AF
4047,Caucasian,Male,0,0,0,1,0,1,1,CM
4048,African-American,Male,1,0,1,0,0,0,1,AM
4049,African-American,Female,2,0,0,0,0,1,0,AF
4050,Caucasian,Male,1,0,0,0,0,1,1,CM
4051,African-American,Male,2,0,0,0,0,0,0,AM
4052,African-American,Male,1,0,0,0,0,1,0,AM
4053,African-American,Male,0,1,0,0,0,1,0,AM
4054,Caucasian,Male,1,0,0,0,0,0,0,CM
4055,Caucasian,Male,1,0,0,0,0,1,1,CM
4056,African-American,Male,0,0,0,0,0,0,1,AM
4057,African-American,Male,1,0,0,0,0,0,0,AM
4058,Caucasian,Female,0,0,0,0,0,0,0,CF
4059,African-American,Male,1,0,0,0,0,1,1,AM
4060,Caucasian,Female,2,0,0,0,0,1,0,CF
4061,African-American,Female,1,1,0,0,0,1,0,AF
4062,Caucasian,Male,2,0,0,0,0,1,0,CM
4063,African-American,Male,1,0,0,0,0,0,0,AM
4064,Caucasian,Female,0,0,1,0,0,0,1,CF
4065,African-American,Male,0,1,1,1,0,1,1,AM
4066,Caucasian,Male,2,0,0,0,0,1,0,CM
4067,Caucasian,Male,1,0,0,0,0,0,1,CM
4068,Hispanic,Male,1,0,0,0,0,1,0,HM
4069,Caucasian,Female,2,0,0,0,0,1,0,CF
4070,Hispanic,Male,1,0,0,0,0,0,1,HM
4071,African-American,Male,1,0,0,0,0,0,0,AM
4072,African-American,Male,2,0,0,0,1,1,1,AM
4073,Hispanic,Male,2,0,0,0,0,1,0,HM
4074,African-American,Male,1,0,0,0,0,0,1,AM
4075,African-American,Male,1,0,0,0,0,1,0,AM
4076,African-American,Male,0,1,0,0,0,1,1,AM
4077,African-American,Male,2,0,0,0,0,0,0,AM
4078,Caucasian,Female,1,0,0,0,0,1,0,CF
4079,Minority,Female,0,0,0,0,0,1,0,MF
4080,African-American,Male,0,0,0,0,0,1,1,AM
4081,African-American,Male,1,0,0,0,0,0,0,AM
4082,Caucasian,Male,1,0,0,0,0,0,0,CM
4083,Minority,Male,0,0,0,0,0,1,1,MM
4084,Minority,Male,2,0,0,0,0,0,0,MM
4085,Hispanic,Male,0,0,0,0,0,1,0,HM
4086,Caucasian,Female,1,0,0,0,0,0,1,CF
4087,African-American,Female,0,0,0,0,0,1,1,AF
4088,Caucasian,Male,2,0,0,0,0,0,0,CM
4089,Caucasian,Male,1,0,0,0,0,0,1,CM
4090,Minority,Female,2,0,0,0,0,0,0,MF
4091,African-American,Male,2,0,0,0,0,1,0,AM
4092,African-American,Female,2,0,0,0,0,1,0,AF
4093,Minority,Male,1,0,0,0,0,0,0,MM
4094,Hispanic,Male,1,0,0,0,0,1,0,HM
4095,African-American,Male,2,0,0,0,0,1,0,AM
4096,African-American,Male,2,0,0,0,0,1,0,AM
4097,Caucasian,Male,1,0,1,0,0,0,0,CM
4098,Caucasian,Female,2,0,0,0,0,0,0,CF
4099,Hispanic,Male,1,0,0,0,0,1,1,HM
4100,Caucasian,Male,1,0,0,1,1,1,0,CM
4101,African-American,Male,1,0,0,0,1,0,1,AM
4102,Caucasian,Male,1,0,0,0,0,1,0,CM
4103,Caucasian,Male,1,0,0,0,0,1,1,CM
4104,African-American,Male,0,0,0,0,0,1,1,AM
4105,African-American,Male,1,0,0,0,0,1,0,AM
4106,African-American,Male,1,0,0,1,0,0,1,AM
4107,Caucasian,Male,2,0,0,0,0,0,0,CM
4108,Caucasian,Male,1,0,0,0,0,1,1,CM
4109,African-American,Female,1,0,0,0,0,1,0,AF
4110,African-American,Male,1,0,0,0,0,0,0,AM
4111,Caucasian,Female,2,0,0,0,0,0,1,CF
4112,African-American,Female,1,0,0,0,0,1,0,AF
4113,Caucasian,Male,1,0,0,0,0,1,0,CM
